Customer ID,Order Date,Ship Date,Ship Mode,Product ID,Category,Sub-Category,Product Name,Price,Customer Name,Segment,Country,City,State,Postal Code,Region
CG-12522,2014-06-09,2014-06-14,Standard Class,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,3165,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
DV-13047,2014-06-09,2014-06-14,Standard Class,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,3656,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
CM-12657,2017-04-15,2017-04-20,Standard Class,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,4781,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South
AS-10242,2016-12-05,2016-12-10,Standard Class,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,4131,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West
HE-14802,2015-11-22,2015-11-26,Standard Class,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4932,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central
CG-12523,2015-11-22,2015-11-26,Standard Class,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2283,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central
DV-13048,2014-11-11,2014-11-18,Standard Class,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",4940,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central
CM-12658,2014-05-13,2014-05-15,Second Class,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,3778,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West
AS-10243,2014-08-27,2014-09-01,Second Class,OFF-AR-10003056,Office Supplies,Art,Newell 341,2140,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
HE-14803,2014-08-27,2014-09-01,Second Class,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,4376,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
CG-12524,2014-08-27,2014-09-01,Second Class,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",4298,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
DV-13049,2016-12-09,2016-12-13,Standard Class,OFF-AR-10000246,Office Supplies,Art,Newell 318,1931,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central
CM-12659,2016-12-09,2016-12-13,Standard Class,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",1314,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central
AS-10244,2017-07-16,2017-07-18,Second Class,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",4984,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East
HE-14804,2015-09-25,2015-09-30,Standard Class,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1183,Emily Burns,Consumer,United States,Orem,Utah,84057,West
CG-12525,2016-01-16,2016-01-20,Second Class,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,2719,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West
DV-13050,2016-01-16,2016-01-20,Second Class,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,4847,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West
CM-12660,2015-09-17,2015-09-21,Standard Class,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1412,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
AS-10245,2015-09-17,2015-09-21,Standard Class,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,3527,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
HE-14805,2015-09-17,2015-09-21,Standard Class,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2092,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
CG-12526,2015-09-17,2015-09-21,Standard Class,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,2533,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
DV-13051,2015-09-17,2015-09-21,Standard Class,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",3593,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
CM-12661,2015-09-17,2015-09-21,Standard Class,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",3267,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
AS-10246,2015-09-17,2015-09-21,Standard Class,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,1050,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
HE-14806,2017-10-19,2017-10-23,Second Class,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,1192,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central
CG-12527,2016-12-08,2016-12-10,First Class,TEC-PH-10004977,Technology,Phones,GE 30524EE4,4448,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central
DV-13052,2016-12-08,2016-12-10,First Class,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4365,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central
CM-12662,2015-12-27,2015-12-31,Standard Class,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",1346,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
AS-10247,2015-12-27,2015-12-31,Standard Class,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4151,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
HE-14807,2015-12-27,2015-12-31,Standard Class,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",2156,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
CG-12528,2015-12-27,2015-12-31,Standard Class,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,2413,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
DV-13053,2017-09-10,2017-09-15,Standard Class,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,3294,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central
CM-12663,2016-07-17,2016-07-22,Standard Class,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",1470,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West
AS-10248,2017-09-19,2017-09-23,Standard Class,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2577,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South
HE-14808,2016-03-11,2016-03-13,First Class,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2728,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central
CG-12529,2016-03-11,2016-03-13,First Class,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,1948,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central
DV-13054,2014-10-20,2014-10-25,Second Class,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",1438,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central
CM-12664,2016-06-20,2016-06-25,Standard Class,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,4018,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East
AS-10249,2016-06-20,2016-06-25,Standard Class,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",3242,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East
HE-14809,2015-04-18,2015-04-22,Standard Class,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",2206,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central
CG-12530,2015-04-18,2015-04-22,Standard Class,OFF-LA-10002762,Office Supplies,Labels,Avery 485,4150,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central
DV-13055,2015-04-18,2015-04-22,Standard Class,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,2152,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central
CM-12665,2015-04-18,2015-04-22,Standard Class,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",2705,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central
AS-10250,2016-12-11,2016-12-17,Standard Class,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,1249,Janet Molinari,Corporate,United States,New York City,New York,10024,East
HE-14810,2016-12-11,2016-12-17,Standard Class,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,4939,Janet Molinari,Corporate,United States,New York City,New York,10024,East
CG-12531,2016-06-17,2016-06-18,First Class,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,2057,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
DV-13056,2016-06-17,2016-06-18,First Class,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,3358,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
CM-12666,2016-06-17,2016-06-18,First Class,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,2308,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
AS-10251,2016-06-17,2016-06-18,First Class,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",2968,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
HE-14811,2016-06-17,2016-06-18,First Class,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3214,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
CG-12532,2016-06-17,2016-06-18,First Class,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,4670,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
DV-13057,2016-06-17,2016-06-18,First Class,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,2811,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
CM-12667,2015-11-24,2015-11-30,Standard Class,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2464,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West
AS-10252,2015-11-24,2015-11-30,Standard Class,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",3738,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West
HE-14812,2015-11-24,2015-11-30,Standard Class,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,2689,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West
CG-12533,2015-11-24,2015-11-30,Standard Class,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,2821,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West
DV-13058,2015-04-30,2015-05-05,Standard Class,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",2867,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central
CM-12668,2014-12-05,2014-12-10,Standard Class,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",4207,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West
AS-10253,2014-12-05,2014-12-10,Standard Class,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,2172,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West
HE-14813,2016-06-04,2016-06-06,First Class,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2007,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South
CG-12534,2016-09-18,2016-09-23,Standard Class,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,3625,Henry MacAllister,Consumer,United States,New York City,New York,10009,East
DV-13059,2017-09-14,2017-09-17,Second Class,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3160,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central
CM-12669,2015-04-26,2015-05-02,Standard Class,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,3899,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South
AS-10254,2015-04-26,2015-05-02,Standard Class,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",3429,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South
HE-14814,2015-04-26,2015-05-02,Standard Class,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,3375,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South
CG-12535,2017-12-09,2017-12-11,First Class,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1668,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central
DV-13060,2017-12-09,2017-12-11,First Class,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",3450,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central
CM-12670,2017-12-09,2017-12-11,First Class,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",4075,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central
AS-10255,2014-11-26,2014-12-01,Second Class,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",3957,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central
HE-14815,2016-06-12,2016-06-15,First Class,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1326,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South
CG-12536,2016-06-12,2016-06-15,First Class,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,2195,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South
DV-13061,2014-10-12,2014-10-16,Standard Class,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",1341,Duane Noonan,Consumer,United States,San Francisco,California,94122,West
CM-12671,2014-10-12,2014-10-16,Standard Class,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",4998,Duane Noonan,Consumer,United States,San Francisco,California,94122,West
AS-10256,2015-09-03,2015-09-08,Standard Class,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,4623,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South
HE-14816,2017-11-13,2017-11-16,First Class,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,2375,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central
CG-12537,2017-05-28,2017-05-30,Second Class,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,1549,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South
DV-13062,2017-10-26,2017-11-02,Standard Class,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,2721,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central
CM-12672,2017-10-26,2017-11-02,Standard Class,OFF-LA-10000134,Office Supplies,Labels,Avery 511,4825,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central
AS-10257,2016-04-05,2016-04-10,Second Class,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,3874,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central
HE-14817,2016-09-17,2016-09-22,Standard Class,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,1103,Jim Sink,Corporate,United States,Los Angeles,California,90036,West
CG-12538,2016-09-17,2016-09-22,Standard Class,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,3207,Jim Sink,Corporate,United States,Los Angeles,California,90036,West
DV-13063,2016-09-17,2016-09-22,Standard Class,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,4358,Jim Sink,Corporate,United States,Los Angeles,California,90036,West
CM-12673,2015-01-31,2015-02-05,Second Class,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,4671,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central
AS-10258,2015-01-31,2015-02-05,Second Class,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",3058,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central
HE-14818,2015-01-31,2015-02-05,Second Class,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,1473,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central
CG-12539,2017-11-06,2017-11-12,Standard Class,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,2127,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West
DV-13064,2017-11-09,2017-11-11,Second Class,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,1918,Parhena Norris,Home Office,United States,New York City,New York,10009,East
CM-12674,2017-06-17,2017-06-20,First Class,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,3606,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West
AS-10259,2016-09-06,2016-09-11,Standard Class,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,3596,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central
HE-14819,2016-08-29,2016-09-02,Standard Class,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,1291,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central
CG-12540,2016-08-29,2016-09-02,Standard Class,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,4228,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central
DV-13065,2016-08-29,2016-09-02,Standard Class,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,2415,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central
CM-12675,2016-12-01,2016-12-04,Second Class,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),3454,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central
AS-10260,2015-11-13,2015-11-17,Standard Class,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,1712,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West
HE-14820,2015-11-13,2015-11-17,Standard Class,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",1983,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West
CG-12541,2015-11-13,2015-11-17,Standard Class,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",1749,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West
DV-13066,2017-11-23,2017-11-28,Standard Class,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,4788,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South
CM-12676,2017-11-23,2017-11-28,Standard Class,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,3651,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South
AS-10261,2017-11-23,2017-11-28,Standard Class,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,1340,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South
HE-14821,2015-10-15,2015-10-20,Standard Class,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,1962,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central
CG-12542,2017-12-25,2017-12-30,Standard Class,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,2904,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East
DV-13067,2016-11-03,2016-11-10,Standard Class,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1211,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central
CM-12677,2016-11-03,2016-11-10,Standard Class,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",1098,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central
AS-10262,2014-08-25,2014-08-27,Second Class,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",3210,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East
HE-14822,2014-08-25,2014-08-27,Second Class,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4669,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East
CG-12543,2014-08-25,2014-08-27,Second Class,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,1641,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East
DV-13068,2014-08-25,2014-08-27,Second Class,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",3702,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East
CM-12678,2015-03-02,2015-03-06,Standard Class,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,1132,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West
AS-10263,2015-04-05,2015-04-10,Standard Class,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,2365,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South
HE-14823,2016-06-12,2016-06-15,First Class,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,1783,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
CG-12544,2016-06-12,2016-06-15,First Class,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2406,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
DV-13069,2016-06-12,2016-06-15,First Class,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",1775,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
CM-12679,2016-06-12,2016-06-15,First Class,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,2528,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
AS-10264,2016-06-12,2016-06-15,First Class,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,1822,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
HE-14824,2014-12-26,2014-12-28,Second Class,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,3974,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central
CG-12545,2014-09-20,2014-09-25,Standard Class,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,2161,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central
DV-13070,2017-11-05,2017-11-12,Standard Class,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",1053,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West
CM-12680,2017-11-05,2017-11-12,Standard Class,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",2916,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West
AS-10265,2016-11-06,2016-11-10,Second Class,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",2276,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West
HE-14825,2016-11-06,2016-11-10,Second Class,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,3685,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West
CG-12546,2017-02-02,2017-02-05,First Class,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,2683,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East
